No.;ID Distrik;Tanggal kejadian;Distrik;Propinsi;Latitude dan Longitude
33;9428;08/09/2022;MAMBERAMO RAYA;PAPUA;
34;1301;29/08/2022;KEPULAUAN MENTAWAI;SUMATERA BARAT;
35;1704;23/08/2022;KAUR;BENGKULU;Lintang : 5.22 LS  Bujur : 102.95 BT
36;1813;23/08/2022;PESISIR BARAT;LAMPUNG;Lintang : 5.22 LS  Bujur : 102.95 BT
37;5103;22/08/2022;BADUNG;BALI;Lintang : 9.36 LS Bujur : 115.59 BT 
38;5202;22/08/2022;LOMBOK TENGAH;NUSA TENGGARA BARAT;
39;5107;29/07/2022;KARANGASEM;BALI;Lintang : 8.21 LS Bujur : 115.49 BT
40;3508;09/07/2022;LUMAJANG;JAWA TIMUR;Lintang : 9.57 LS Bujur : 112.93 BT 
41;7601;08/06/2022;MAJENE;SULAWESI BARAT;Lintang : 2.74 LS Bujur : 118.54 BT 
42;7604;08/06/2022;MAMUJU;SULAWESI BARAT;Lintang : 2.74 LS Bujur : 118.54 BT 
43;8108;27/05/2022;MALUKU BARAT DAYA;MALUKU;Lintang : 8.64 LS Bujur : 127.20 BT
44;8205;18/04/2022;HALMAHERA UTARA;MALUKU UTARA;Lintang : 1.90 LU  Bujur : 127.83 BT
45;3202;01/04/2022;SUKABUMI;JAWA BARAT;Lintang : 7.04 LS Bujur : 106.10 BT
46;7403;26/03/2022;KONAWE;SULAWESI TENGGARA;Lintang : 3.83 LS Bujur : 122.69 BT
47;7301;26/03/2022;SELAYAR;SULAWESI SELATAN;Lintang : 7.54 LS Bujur : 121.70 BT
48;8106;24/03/2022;SERAM BAGIAN BARAT;MALUKU;Lintang : 3.44 LS Bujur : 128.40 BT
49;1214;14/03/2022;NIAS SELATAN;SUMATERA UTARA;Lintang : 0.71 LS Bujur : 98.50 BT 
50;1306;25/02/2022;PADANG PARIAMAN;SUMATERA BARAT;
51;1307;25/02/2022;AGAM;SUMATERA BARAT;
52;1308;25/02/2022;LIMA PULUH KOTA;SUMATERA BARAT;
53;1309;25/02/2022;PASAMAN;SUMATERA BARAT;
54;1312;25/02/2022;PASAMAN BARAT;SUMATERA BARAT;
55;7104;22/01/2022;KEPULAUAN TALAUD;SULAWESI UTARA;Lintang : 3.67 LU Bujur : 126.82 BT 
56;3602;14/01/2022;LEBAK;BANTEN;Lintang : 7.21 LS Bujur : 105.05 BT
57;3601;14/01/2022;PANDEGLANG;BANTEN;Lintang : 7.21 LS Bujur : 105.05 BT
58;3201;14/01/2022;BOGOR;JAWA BARAT;Lintang : 7.21 LS Bujur : 105.05 BT
59;3202;14/01/2022;SUKABUMI;JAWA BARAT;Lintang : 7.21 LS Bujur : 105.05 BT
60;3604;14/01/2022;SERANG;BANTEN;Lintang : 7.21 LS Bujur : 105.05 BT
61;3603;14/01/2022;TANGERANG;BANTEN;Lintang : 7.21 LS Bujur : 105.05 BT
62;8205;10/01/2022;HALMAHERA UTARA;MALUKU UTARA;Lintang : 1.49 LU Bujur : 127.85 BT
63;8108;30/12/2021;MALUKU BARAT DAYA;MALUKU;Lintang : 7.68 LS Bujur : 127.55 BT 
64;3509;16/12/2021;JEMBER;JAWA TIMUR;Lintang : 8.55 LS Bujur : 113.49 BT
65;8108;16/12/2021;MALUKU BARAT DAYA;MALUKU;Lintang : 6.95 LS Bujur : 128.64 BT
66;5313;14/12/2021;MANGGARAI;NUSA TENGGARA TIMUR;
67;5310;14/12/2021;SIKKA;NUSA TENGGARA TIMUR;
68;7301;14/12/2021;SELAYAR;SULAWESI SELATAN;
69;5309;14/12/2021;FLORES TIMUR;NUSA TENGGARA TIMUR;Lintang : 7.59 LS Bujur : 122.24 BT
70;8108;11/12/2021;MALUKU BARAT DAYA;MALUKU;Lintang : 6.98 LS Bujur :  128.68 BT
71;8103;04/11/2021;MALUKU TENGAH;MALUKU;Lintang : 2.81 LS Bujur  : 129.34 BT
72;5106;28/10/2021;BANGLI;BALI;Lintang  : 8.32 LS Bujur   : 115.45 BT
73;5107;28/10/2021;KARANGASEM;BALI;Lintang  : 8.32 LS Bujur   : 115.45 BT
74;3322;23/10/2021;SEMARANG;JAWA TENGAH;
75;3505;22/10/2021;BLITAR;JAWA TIMUR;Lintang : 8.84 LS Bujur : 112.51 BT 
76;5108;16/10/2021;BULELENG;BALI;
77;3329;28/09/2021;BREBES;JAWA TENGAH;
78;7209;26/08/2021;TOJO UNA-UNA;SULAWESI TENGAH;Lintang : 0.70 LS Bujur : 121.51 BT
79;7202;26/07/2021;BANGGAI;SULAWESI TENGAH;
80;7209;26/07/2021;TOJO UNA-UNA;SULAWESI TENGAH;Lintang : 0.73 LS Bujur : 121.92 BT
81;7603;22/07/2021;MAMASA;SULAWESI BARAT;
82;3403;28/06/2021;GUNUNGKIDUL;DI YOGYAKARTA;Lintang : 8.49 LS Bujur : 110.59 BT
83;3402;28/06/2021;BANTUL;DI YOGYAKARTA;Lintang : 8.49 LS Bujur : 110.59 BT
84;8107;16/06/2021;SERAM BAGIAN TIMUR;MALUKU;Lintang : 3.42 LS Bujur : 129.57 BT
85;8171;16/06/2021;KOTA AMBON;MALUKU;Lintang : 3.42 LS Bujur : 129.57 BT
86;8106;16/06/2021;SERAM BAGIAN BARAT;MALUKU;Lintang : 3.42 LS Bujur : 129.57 BT
87;8103;16/06/2021;MALUKU TENGAH;MALUKU;Lintang : 3.42 LS Bujur : 129.57 BT
88;3508;21/05/2021;LUMAJANG;JAWA TIMUR;Lintang  : 8.63 LS Bujur : 112.34 BT
89;3509;21/05/2021;JEMBER;JAWA TIMUR;Lintang  : 8.63 LS Bujur : 112.34 BT
90;3573;21/05/2021;KOTA MALANG;JAWA TIMUR;Lintang  : 8.63 LS Bujur : 112.34 BT
91;3506;21/05/2021;KEDIRI;JAWA TIMUR;Lintang  : 8.63 LS Bujur : 112.34 BT
92;3505;21/05/2021;BLITAR;JAWA TIMUR;Lintang  : 8.63 LS Bujur : 112.34 BT
93;3514;21/05/2021;PASURUAN;JAWA TIMUR;Lintang  : 8.63 LS Bujur : 112.34 BT
94;3572;21/05/2021;KOTA BLITAR;JAWA TIMUR;Lintang  : 8.63 LS Bujur : 112.34 BT
95;3507;21/05/2021;MALANG;JAWA TIMUR;Lintang  : 8.63 LS Bujur : 112.34 BT
96;3201;27/04/2021;BOGOR;JAWA BARAT;Lintang : 7.86 LS Bujur : 106.87 BT
97;3202;27/04/2021;SUKABUMI;JAWA BARAT;Lintang : 7.86 LS Bujur : 106.87 BT
98;3502;10/04/2021;PONOROGO;JAWA TIMUR;
99;3518;10/04/2021;NGANJUK;JAWA TIMUR;
100;3573;10/04/2021;KOTA MALANG;JAWA TIMUR;
101;3505;10/04/2021;BLITAR;JAWA TIMUR;
102;3511;10/04/2021;BONDOWOSO;JAWA TIMUR;
103;3513;10/04/2021;PROBOLINGGO;JAWA TIMUR;
104;3503;10/04/2021;TRENGGALEK;JAWA TIMUR;
105;3508;10/04/2021;LUMAJANG;JAWA TIMUR;
106;3510;10/04/2021;BANYUWANGI;JAWA TIMUR;
107;3507;10/04/2021;MALANG;JAWA TIMUR;
108;3506;10/04/2021;KEDIRI;JAWA TIMUR;
109;3571;10/04/2021;KOTA KEDIRI;JAWA TIMUR;
110;3572;10/04/2021;KOTA BLITAR;JAWA TIMUR;
111;3509;10/04/2021;JEMBER;JAWA TIMUR;
112;3504;10/04/2021;TULUNGAGUNG;JAWA TIMUR;
113;3579;10/04/2021;KOTA BATU;JAWA TIMUR;
114;3501;10/04/2021;PACITAN;JAWA TIMUR;
115;3514;10/04/2021;PASURUAN;JAWA TIMUR;
116;1301;05/03/2021;KEPULAUAN MENTAWAI;SUMATERA BARAT;Lintang : 1.76 LS Bujur : 99.14 BT
117;8204;26/02/2021;HALMAHERA SELATAN;MALUKU UTARA;Lintang : 0.54 LS Bujur : 127.51 BT
118;8105;31/01/2021;KEPULAUAN ARU;MALUKU;Lintang : 5.48 LS Bujur : 133.62 BT 
119;7104;21/01/2021;KEPULAUAN TALAUD;SULAWESI UTARA;Lintang : 4.98 LU Bujur : 127.38 BT
120;7601;15/01/2021;MAJENE;SULAWESI BARAT;Lintang : 2.99 LS Bujur : 118.89 BT
121;7603;15/01/2021;MAMASA;SULAWESI BARAT;Lintang : 2.99 LS Bujur : 118.89 BT
122;7602;15/01/2021;POLEWALI MANDAR;SULAWESI BARAT;Lintang : 2.99 LS Bujur : 118.89 BT
123;7604;15/01/2021;MAMUJU;SULAWESI BARAT;Lintang : 2.99 LS Bujur : 118.89 BT
124;7606;14/01/2021;MAMUJU TENGAH;SULAWESI BARAT;
125;7606;14/01/2021;MAMUJU TENGAH;SULAWESI BARAT;
126;7606;14/01/2021;MAMUJU TENGAH;SULAWESI BARAT;
127;3208;11/12/2020;KUNINGAN;JAWA BARAT;Lintang : 7.07 LS Bujur : 108.87 BT
128;3203;03/11/2020;CIANJUR;JAWA BARAT;
129;7606;28/10/2020;MAMUJU TENGAH;SULAWESI BARAT;Lintang : 2.24 LS Bujur : 119.22 BT
130;3207;25/10/2020;CIAMIS;JAWA BARAT;
131;3279;25/10/2020;KOTA BANJAR;JAWA BARAT;
132;3205;25/10/2020;GARUT;JAWA BARAT;
133;3218;25/10/2020;PANGANDARAN;JAWA BARAT;
134;3278;25/10/2020;KOTA TASIKMALAYA;JAWA BARAT;
135;3206;25/10/2020;TASIKMALAYA;JAWA BARAT;
136;7104;09/09/2020;KEPULAUAN TALAUD;SULAWESI UTARA;
137;3320;07/07/2020;JEPARA;JAWA TENGAH;
138;1172;18/06/2020;KOTA SABANG;ACEH;
139;5204;13/06/2020;SUMBAWA;NUSA TENGGARA BARAT;
140;5205;13/06/2020;DOMPU;NUSA TENGGARA BARAT;
141;8271;04/06/2020;KOTA TERNATE;MALUKU UTARA;
142;8207;04/06/2020;PULAU MOROTAI;MALUKU UTARA;
143;8205;04/06/2020;HALMAHERA UTARA;MALUKU UTARA;
144;1172;04/06/2020;KOTA SABANG;ACEH;
145;8201;04/06/2020;HALMAHERA BARAT;MALUKU UTARA;
146;1203;30/04/2020;TAPANULI SELATAN;SUMATERA UTARA;
147;7210;28/03/2020;SIGI;SULAWESI TENGAH;Lintang : 1.72 LS  Bujur : 120.14 BT 
148;9403;26/03/2020;JAYAPURA;PAPUA;Lintang : 2.72 LS Bujur : 139.26 BT
149;3207;11/03/2020;CIAMIS;JAWA BARAT;
150;3202;10/03/2020;SUKABUMI;JAWA BARAT;Lintang : 6.89 LS Bujur : 106.62 BT
151;3201;10/03/2020;BOGOR;JAWA BARAT;Lintang : 6.89 LS Bujur : 106.62 BT
152;8103;08/02/2020;MALUKU TENGAH;MALUKU;
153;1101;22/01/2020;SIMEULUE;ACEH;
154;1101;07/01/2020;SIMEULUE;ACEH;
155;3202;26/12/2019;SUKABUMI;JAWA BARAT;
156;8103;25/11/2019;MALUKU TENGAH;MALUKU;
157;7102;14/11/2019;MINAHASA;SULAWESI UTARA;
158;8271;14/11/2019;KOTA TERNATE;MALUKU UTARA;
159;8171;14/11/2019;KOTA AMBON;MALUKU;
160;7109;14/11/2019;MINAHASA TENGGARA;SULAWESI UTARA;
161;3508;13/11/2019;LUMAJANG;JAWA TIMUR;
162;8103;12/11/2019;MALUKU TENGAH;MALUKU;
163;8171;12/11/2019;KOTA AMBON;MALUKU;
164;8171;10/10/2019;KOTA AMBON;MALUKU;
165;3202;01/10/2019;SUKABUMI;JAWA BARAT;
166;8103;26/09/2019;MALUKU TENGAH;MALUKU;
167;8171;26/09/2019;KOTA AMBON;MALUKU;
168;8106;26/09/2019;SERAM BAGIAN BARAT;MALUKU;
169;3601;02/08/2019;PANDEGLANG;BANTEN;
170;3203;02/08/2019;CIANJUR;JAWA BARAT;
171;3202;02/08/2019;SUKABUMI;JAWA BARAT;
172;3205;02/08/2019;GARUT;JAWA BARAT;
173;3604;02/08/2019;SERANG;BANTEN;
174;3271;02/08/2019;KOTA BOGOR;JAWA BARAT;
175;3201;02/08/2019;BOGOR;JAWA BARAT;
176;3602;02/08/2019;LEBAK;BANTEN;
177;3278;02/08/2019;KOTA TASIKMALAYA;JAWA BARAT;
178;3204;02/08/2019;BANDUNG;JAWA BARAT;
179;3301;02/08/2019;CILACAP;JAWA TENGAH;
180;3672;02/08/2019;KOTA CILEGON;BANTEN;
181;1803;02/08/2019;LAMPUNG SELATAN;LAMPUNG;
182;3217;02/08/2019;BANDUNG BARAT;JAWA BARAT;
183;3510;16/07/2019;BANYUWANGI;JAWA TIMUR;
184;5103;16/07/2019;BADUNG;BALI;
185;3509;16/07/2019;JEMBER;JAWA TIMUR;
186;5171;16/07/2019;KOTA DENPASAR;BALI;
187;5108;16/07/2019;BULELENG;BALI;
188;5101;16/07/2019;JEMBRANA;BALI;
189;5104;16/07/2019;GIANYAR;BALI;
190;8204;14/07/2019;HALMAHERA SELATAN;MALUKU UTARA;
191;5204;13/07/2019;SUMBAWA;NUSA TENGGARA BARAT;Lintang : 8.97 LS Bujur : 117.83 BT
192;8204;11/07/2019;HALMAHERA SELATAN;MALUKU UTARA;
193;8108;24/06/2019;MALUKU BARAT DAYA;MALUKU;
194;9431;24/06/2019;MAMBERAMO TENGAH;PAPUA;
195;9419;20/06/2019;SARMI;PAPUA;
196;9431;20/06/2019;MAMBERAMO TENGAH;PAPUA;
197;3320;22/05/2019;JEPARA;JAWA TENGAH;
198;7202;11/04/2019;BANGGAI;SULAWESI TENGAH;Lintang: 1.90 LS Bujur : 122.54 BT
199;3529;02/04/2019;SUMENEP;JAWA TIMUR; Lintang : 7.24 LS Bujur : 114.60 BT 
200;7204;24/03/2019;POSO;SULAWESI TENGAH;
201;3278;21/03/2019;KOTA TASIKMALAYA;JAWA BARAT;
202;1306;20/03/2019;PADANG PARIAMAN;SUMATERA BARAT;Lintang : 0.46 LS Bujur : 100.23 BT 
203;5208;17/03/2019;LOMBOK UTARA;NUSA TENGGARA BARAT;Lintang : 8.30 LS Bujur : 116.60 BT
204;5203;17/03/2019;LOMBOK TIMUR;NUSA TENGGARA BARAT;Lintang : 8.30 LS Bujur : 116.60 BT
205;1310;28/02/2019;SOLOK SELATAN;SUMATERA BARAT;
206;3205;11/02/2019;GARUT;JAWA BARAT;Lintang : 7.27 LS Bujur : 107.71 BT
207;8207;07/02/2019;PULAU MOROTAI;MALUKU UTARA;
208;1301;02/02/2019;KEPULAUAN MENTAWAI;SUMATERA BARAT;Lintang: 3.06 LS Bujur: 99.88 BT
209;8102;26/01/2019;MALUKU TENGGARA;MALUKU;Lintang : 5.51 LS Bujur : 133.81 BT
210;5301;22/01/2019;SUMBA BARAT;NUSA TENGGARA TIMUR;
211;3202;08/01/2019;SUKABUMI;JAWA BARAT;
212;9105;28/12/2018;MANOKWARI;PAPUA BARAT;
213;7313;17/12/2018;WAJO;SULAWESI SELATAN;
214;5201;06/12/2018;LOMBOK BARAT;NUSA TENGGARA BARAT;
215;5107;06/12/2018;KARANGASEM;BALI;
216;5208;06/12/2018;LOMBOK UTARA;NUSA TENGGARA BARAT;
217;5108;06/12/2018;BULELENG;BALI;
218;7603;15/11/2018;MAMASA;SULAWESI BARAT;
219;5102;15/11/2018;TABANAN;BALI;
220;7603;08/11/2018;MAMASA;SULAWESI BARAT;
221;3509;11/10/2018;JEMBER;JAWA TIMUR;
222;5108;11/10/2018;BULELENG;BALI;
223;3512;11/10/2018;SITUBONDO;JAWA TIMUR;
224;5101;11/10/2018;JEMBRANA;BALI;
225;3529;11/10/2018;SUMENEP;JAWA TIMUR;
226;3513;11/10/2018;PROBOLINGGO;JAWA TIMUR;
227;7314;09/10/2018;SIDENRENG RAPPANG;SULAWESI SELATAN;
228;5302;02/10/2018;SUMBA TIMUR;NUSA TENGGARA TIMUR;
229;7210;28/09/2018;SIGI;SULAWESI TENGAH;
230;7271;28/09/2018;KOTA PALU;SULAWESI TENGAH;
231;7605;28/09/2018;PASANGKAYU;SULAWESI BARAT;
232;7208;28/09/2018;PARIGI MOUTONG;SULAWESI TENGAH;
233;7205;28/09/2018;DONGGALA;SULAWESI TENGAH;
234;5207;19/08/2018;SUMBAWA BARAT;NUSA TENGGARA BARAT;
235;5204;19/08/2018;SUMBAWA;NUSA TENGGARA BARAT;
236;5203;19/08/2018;LOMBOK TIMUR;NUSA TENGGARA BARAT;
237;5103;19/08/2018;BADUNG;BALI;
238;5202;19/08/2018;LOMBOK TENGAH;NUSA TENGGARA BARAT;
239;5102;15/08/2018;TABANAN;BALI;
240;5108;15/08/2018;BULELENG;BALI;
241;5102;13/08/2018;TABANAN;BALI;
242;5102;09/08/2018;TABANAN;BALI;
243;5108;09/08/2018;BULELENG;BALI;
244;5102;08/08/2018;TABANAN;BALI;
245;5102;07/08/2018;TABANAN;BALI;
246;5104;06/08/2018;GIANYAR;BALI;
247;5102;06/08/2018;TABANAN;BALI;
248;5105;06/08/2018;KLUNGKUNG;BALI;
249;5106;05/08/2018;BANGLI;BALI;
250;5202;05/08/2018;LOMBOK TENGAH;NUSA TENGGARA BARAT;
251;5108;05/08/2018;BULELENG;BALI;
252;5107;05/08/2018;KARANGASEM;BALI;
253;5201;05/08/2018;LOMBOK BARAT;NUSA TENGGARA BARAT;
254;5271;05/08/2018;KOTA MATARAM;NUSA TENGGARA BARAT;
255;5171;05/08/2018;KOTA DENPASAR;BALI;
256;5203;05/08/2018;LOMBOK TIMUR;NUSA TENGGARA BARAT;
257;5208;05/08/2018;LOMBOK UTARA;NUSA TENGGARA BARAT;
258;5107;29/07/2018;KARANGASEM;BALI;
259;5271;29/07/2018;KOTA MATARAM;NUSA TENGGARA BARAT;
260;5201;29/07/2018;LOMBOK BARAT;NUSA TENGGARA BARAT;
261;5208;29/07/2018;LOMBOK UTARA;NUSA TENGGARA BARAT;
262;5203;29/07/2018;LOMBOK TIMUR;NUSA TENGGARA BARAT;
263;5207;29/07/2018;SUMBAWA BARAT;NUSA TENGGARA BARAT;
264;1371;21/07/2018;KOTA PADANG;SUMATERA BARAT;
265;1303;21/07/2018;SOLOK;SUMATERA BARAT;
266;3202;07/07/2018;SUKABUMI;JAWA BARAT;
267;9419;15/06/2018;SARMI;PAPUA;
268;3529;13/06/2018;SUMENEP;JAWA TIMUR;
269;3304;18/04/2018;BANJARNEGARA;JAWA TENGAH;
270;8201;16/04/2018;HALMAHERA BARAT;MALUKU UTARA;
271;9413;26/02/2018;BOVEN DIGOEL;PAPUA;
272;1109;08/02/2018;PIDIE;ACEH;
273;3271;23/01/2018;KOTA BOGOR;JAWA BARAT;
274;3602;23/01/2018;LEBAK;BANTEN;
275;3201;23/01/2018;BOGOR;JAWA BARAT;
276;3601;23/01/2018;PANDEGLANG;BANTEN;
277;3202;23/01/2018;SUKABUMI;JAWA BARAT;
278;3203;23/01/2018;CIANJUR;JAWA BARAT;
279;3604;23/01/2018;SERANG;BANTEN;
280;3172;23/01/2018;KOTA JAKARTA TIMUR;DKI JAKARTA;
281;3603;23/01/2018;TANGERANG;BANTEN;
282;3326;15/12/2017;PEKALONGAN;JAWA TENGAH;
283;3279;15/12/2017;KOTA BANJAR;JAWA BARAT;
284;3205;15/12/2017;GARUT;JAWA BARAT;
285;3305;15/12/2017;KEBUMEN;JAWA TENGAH;
286;3306;15/12/2017;PURWOREJO;JAWA TENGAH;
287;3206;15/12/2017;TASIKMALAYA;JAWA BARAT;
288;3207;15/12/2017;CIAMIS;JAWA BARAT;
289;3218;15/12/2017;PANGANDARAN;JAWA BARAT;
290;3204;15/12/2017;BANDUNG;JAWA BARAT;
291;3302;15/12/2017;BANYUMAS;JAWA TENGAH;
292;3301;15/12/2017;CILACAP;JAWA TENGAH;
293;3304;15/12/2017;BANJARNEGARA;JAWA TENGAH;
294;3307;15/12/2017;WONOSOBO;JAWA TENGAH;
295;3404;15/12/2017;SLEMAN;DI YOGYAKARTA;
296;3202;15/12/2017;SUKABUMI;JAWA BARAT;
297;3329;15/12/2017;BREBES;JAWA TENGAH;
298;3375;15/12/2017;KOTA PEKALONGAN;JAWA TENGAH;
299;3203;15/12/2017;CIANJUR;JAWA BARAT;
300;3278;15/12/2017;KOTA TASIKMALAYA;JAWA BARAT;
301;3402;15/12/2017;BANTUL;DI YOGYAKARTA;
302;1707;06/12/2017;LEBONG;BENGKULU;
303;8207;18/11/2017;PULAU MOROTAI;MALUKU UTARA;
304;8171;31/10/2017;KOTA AMBON;MALUKU;
305;9471;28/10/2017;KOTA JAYAPURA;PAPUA;
306;5308;10/10/2017;LEMBATA;NUSA TENGGARA TIMUR;
307;8201;28/09/2017;HALMAHERA BARAT;MALUKU UTARA;
308;1371;01/09/2017;KOTA PADANG;SUMATERA BARAT;
309;1307;01/09/2017;AGAM;SUMATERA BARAT;
310;1706;13/08/2017;MUKOMUKO;BENGKULU;
311;3204;18/07/2017;BANDUNG;JAWA BARAT;
312;7501;15/07/2017;BOALEMO;GORONTALO;
313;1277;14/07/2017;KOTA PADANG SIDEMPUAN;SUMATERA UTARA;
314;7204;29/05/2017;POSO;SULAWESI TENGAH;
315;7210;29/05/2017;SIGI;SULAWESI TENGAH;
316;1113;29/05/2017;GAYO LUES;ACEH;
317;3206;24/04/2017;TASIKMALAYA;JAWA BARAT;
318;1301;21/04/2017;KEPULAUAN MENTAWAI;SUMATERA BARAT;
319;5171;22/03/2017;KOTA DENPASAR;BALI;
320;8207;08/03/2017;PULAU MOROTAI;MALUKU UTARA;
321;1118;16/02/2017;PIDIE JAYA;ACEH;
322;1212;16/01/2017;DELI SERDANG;SUMATERA UTARA;
323;1118;07/12/2016;PIDIE JAYA;ACEH;
324;1109;07/12/2016;PIDIE;ACEH;
325;1110;07/12/2016;BIREUEN;ACEH;
326;3509;16/11/2016;JEMBER;JAWA TIMUR;
327;3507;16/11/2016;MALANG;JAWA TIMUR;
328;3273;06/11/2016;KOTA BANDUNG;JAWA BARAT;
329;9431;28/08/2016;MAMBERAMO TENGAH;PAPUA;
330;5205;01/08/2016;DOMPU;NUSA TENGGARA BARAT;
331;8271;08/06/2016;KOTA TERNATE;MALUKU UTARA;
332;1501;02/06/2016;KERINCI;JAMBI;
333;1706;02/06/2016;MUKOMUKO;BENGKULU;
334;1302;02/06/2016;PESISIR SELATAN;SUMATERA BARAT;
335;1371;02/06/2016;KOTA PADANG;SUMATERA BARAT;
336;1709;10/04/2016;BENGKULU TENGAH;BENGKULU;
337;3512;04/04/2016;SITUBONDO;JAWA TIMUR;
338;5208;31/03/2016;LOMBOK UTARA;NUSA TENGGARA BARAT;
339;8201;24/02/2016;HALMAHERA BARAT;MALUKU UTARA;
340;5301;12/02/2016;SUMBA BARAT;NUSA TENGGARA TIMUR;
341;8104;17/01/2016;BURU;MALUKU;
342;8106;28/12/2015;SERAM BAGIAN BARAT;MALUKU;
343;6571;21/12/2015;KOTA TARAKAN;KALIMANTAN UTARA;
344;3601;28/11/2015;PANDEGLANG;BANTEN;
345;8201;16/11/2015;HALMAHERA BARAT;MALUKU UTARA;
346;1172;08/11/2015;KOTA SABANG;ACEH;
347;3601;04/11/2015;PANDEGLANG;BANTEN;
348;5307;04/11/2015;ALOR;NUSA TENGGARA TIMUR;
349;9171;24/09/2015;KOTA SORONG;PAPUA BARAT;
350;9428;28/07/2015;MAMBERAMO RAYA;PAPUA;
351;3508;26/07/2015;LUMAJANG;JAWA TIMUR;
352;3301;25/07/2015;CILACAP;JAWA TENGAH;
353;3519;25/06/2015;MADIUN;JAWA TIMUR;
354;7504;16/06/2015;BONE BOLANGO;GORONTALO;
355;5304;16/06/2015;TIMOR TENGAH SELATAN;NUSA TENGGARA TIMUR;
356;7103;16/06/2015;KEPULAUAN SANGIHE;SULAWESI UTARA;
357;7106;15/06/2015;MINAHASA UTARA;SULAWESI UTARA;
358;1310;13/06/2015;SOLOK SELATAN;SUMATERA BARAT;
359;5302;11/06/2015;SUMBA TIMUR;NUSA TENGGARA TIMUR;
360;8102;10/06/2015;MALUKU TENGGARA;MALUKU;
361;3503;05/06/2015;TRENGGALEK;JAWA TIMUR;
362;1116;01/06/2015;ACEH JAYA;ACEH;
363;8171;01/06/2015;KOTA AMBON;MALUKU;
364;1704;31/05/2015;KAUR;BENGKULU;
365;9427;31/05/2015;SUPIORI;PAPUA;
366;8201;18/03/2015;HALMAHERA BARAT;MALUKU UTARA;
367;7604;08/02/2015;MAMUJU;SULAWESI BARAT;
368;8201;21/11/2014;HALMAHERA BARAT;MALUKU UTARA;
369;7171;15/11/2014;KOTA MANADO;SULAWESI UTARA;
370;1708;28/10/2014;KEPAHIANG;BENGKULU;
371;1374;11/09/2014;KOTA PADANG PANJANG;SUMATERA BARAT;
